Player,Team,Conf,Class,Pos,G,Rec,Yds,Y/R,TD,Y/G
Henry Ruggs III,Alabama,SEC,JR,WR,12,40,746,18.7,7,62.2
Jerry Jeudy,Alabama,SEC,JR,WR,13,77,1163,15.1,10,89.5
CeeDee Lamb,Oklahoma,Big 12,JR,WR,13,62,1327,21.4,14,102.1
Jalen Reagor,TCU,Big 12,JR,WR,12,43,611,14.2,5,50.9
Justin Jefferson,LSU,SEC,JR,WR,15,111,1540,13.9,18,102.7
Brandon Aiyuk,Arizona St.,Pac-12,SR,WR,12,65,1192,18.3,8,99.3
Tee Higgins,Clemson,ACC,JR,WR,15,59,1167,19.8,13,77.8
Michael Pittman Jr.,USC,Pac-12,SR,WR,13,101,1275,12.6,11,98.1
Laviska Shenault Jr.,Colorado,Pac-12,JR,WR,11,56,764,13.6,4,69.5
KJ Hamler,Penn St.,Big Ten,SO,WR,13,56,904,16.1,8,69.5
Chase Claypool,Notre Dame,Ind,SR,WR,13,66,1037,15.7,13,79.8
Van Jefferson,Florida,SEC,SR,WR,12,49,657,13.4,6,54.8
Denzel Mims,Baylor,Big 12,SR,WR,13,66,1020,15.5,12,78.5
Lynn Bowden Jr.,Kentucky,SEC,JR,WR,8,30,348,11.6,0,43.5
Bryan Edwards,South Carolina,SEC,SR,WR,10,71,816,11.5,6,81.6
Devin Duvernay,Texas,Big 12,SR,WR,13,106,1386,13.1,9,106.6
Gabriel Davis,Central Florida,AAC,JR,WR,12,72,1241,17.2,12,103.4
Antonio Gandy-Golden,Liberty,Ind,SR,WR,13,79,1396,17.7,10,107.4
Joe Reed,Virginia,ACC,SR,WR,13,77,679,8.8,7,52.2
Tyler Johnson,Minnesota,Big Ten,SR,WR,13,86,1318,15.3,13,101.4
Collin Johnson,Texas,Big 12,SR,WR,7,38,559,14.7,3,79.9
Quintez Cephus,Wisconsin,Big Ten,JR,WR,13,59,901,15.3,7,69.3
John Hightower,Boise St.,MWC,SR,WR,14,51,943,18.5,8,67.4
Isaiah Coulter,Rhode Island,CAA,JR,WR,12,72,1039,14.4,8,86.6
Darnell Mooney,Tulane,AAC,SR,WR,13,48,713,14.9,5,54.8
K.J. Osborn,Miami (FL),ACC,SR,WR,13,50,547,10.9,5,42.1
Donovan Peoples-Jones,Michigan,Big Ten,JR,WR,11,34,438,12.9,6,39.8
Quez Watkins,Southern Miss,C-USA,JR,WR,13,64,1178,18.4,6,90.6
James Proche,SMU,AAC,SR,WR,12,111,1225,11.0,15,102.1
Isaiah Hodgins,Oregon St.,Pac-12,JR,WR,12,86,1171,13.6,13,97.6
Dezmon Patmon,Washington St.,Pac-12,SR,WR,13,58,762,13.1,8,58.6
Freddie Swain,Florida,SEC,SR,WR,13,38,517,13.6,7,39.8
Jauan Jennings,Tennessee,SEC,SR,WR,13,59,969,16.4,8,74.5
K.J. Hill,Ohio St.,Big Ten,SR,WR,14,57,636,11.2,10,45.4
Tyrie Cleveland,Florida,SEC,SR,WR,12,25,351,14.0,1,29.3
